Ref,Val,Package,PosX,PosY,Rot,Side
"D71","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",123.200000,-80.200000,0.000000,top
"D72","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",130.500000,-80.200000,0.000000,top
"D73","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",137.800000,-80.200000,0.000000,top
"D74","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",145.100000,-80.200000,0.000000,top
"D75","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",152.500000,-80.200000,0.000000,top
"D76","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",159.800000,-80.200000,0.000000,top
"D77","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",167.100000,-80.200000,0.000000,top
"D78","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",174.400000,-80.200000,0.000000,top
"D79","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",174.400000,-74.500000,0.000000,top
"D80","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",167.100000,-74.500000,0.000000,top
"D81","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",159.800000,-74.500000,0.000000,top
"D82","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",152.500000,-74.500000,0.000000,top
"D83","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",145.100000,-74.500000,0.000000,top
"D84","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",137.800000,-74.500000,0.000000,top
"D85","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",130.500000,-74.500000,0.000000,top
"D86","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",123.200000,-74.500000,0.000000,top
"D87","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",115.900000,-74.500000,0.000000,top
"D88","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",108.600000,-74.500000,0.000000,top
"D89","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",101.300000,-74.500000,0.000000,top
"D90","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",94.000000,-74.500000,0.000000,top
"D91","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",86.700000,-74.500000,0.000000,top
"D92","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",79.400000,-74.500000,0.000000,top
"D93","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",72.000000,-74.500000,0.000000,top
"D94","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",64.700000,-74.500000,0.000000,top
"D95","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",57.400000,-74.500000,0.000000,top
"D96","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",57.400000,-68.800000,0.000000,top
"D97","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",64.700000,-68.800000,0.000000,top
"D98","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",72.000000,-68.800000,0.000000,top
"D99","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",79.400000,-68.800000,0.000000,top
"D100","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",86.750000,-68.800000,0.000000,top
"D101","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",94.000000,-68.800000,0.000000,top
"D102","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",101.300000,-68.800000,0.000000,top
"D103","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",108.600000,-68.800000,0.000000,top
"D104","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",115.900000,-68.800000,0.000000,top
"D105","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",123.200000,-68.800000,0.000000,top
"D106","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",130.500000,-68.800000,0.000000,top
"D107","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",137.800000,-68.800000,0.000000,top
"D108","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",145.100000,-68.800000,0.000000,top
"D109","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",152.500000,-68.800000,0.000000,top
"D110","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",159.800000,-68.800000,0.000000,top
"D111","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",167.100000,-68.800000,0.000000,top
"D112","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",174.400000,-68.800000,0.000000,top
"D113","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",174.400000,-63.090000,0.000000,top
"D114","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",167.100000,-63.090000,0.000000,top
"D115","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",159.800000,-63.090000,0.000000,top
"D116","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",152.400000,-63.090000,0.000000,top
"D117","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",145.100000,-63.090000,0.000000,top
"D118","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",137.800000,-63.090000,0.000000,top
"D119","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",130.500000,-63.090000,0.000000,top
"D120","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",123.200000,-63.090000,0.000000,top
"D121","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",115.900000,-63.090000,0.000000,top
"D122","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",108.600000,-63.090000,0.000000,top
"D123","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",101.300000,-63.090000,0.000000,top
"D124","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",94.060000,-63.100000,0.000000,top
"D125","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",86.700000,-63.090000,0.000000,top
"D126","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",79.300000,-63.090000,0.000000,top
"D127","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",72.000000,-63.100000,0.000000,top
"D128","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",64.700000,-63.090000,0.000000,top
"D129","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",64.700000,-57.490000,0.000000,top
"D130","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",72.000000,-57.490000,0.000000,top
"D131","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",79.400000,-57.490000,0.000000,top
"D132","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",86.700000,-57.490000,0.000000,top
"D133","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",94.000000,-57.490000,0.000000,top
"D134","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",101.300000,-57.490000,0.000000,top
"D135","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",108.600000,-57.490000,0.000000,top
